Model,Person_Acc,N_Correct,Frame_Acc,F1_macro,F1_weighted,F1_Slim(瘦小),F1_Medium(中等),F1_Large(高大)
KNN5_dist,1.0,8/8,0.875,0.8597023990282416,0.8700652900091103,1.0,0.8764044943820225,0.7027027027027027
KNN3_dist,1.0,8/8,0.875,0.8635991601722358,0.8712857193694173,0.9803921568627451,0.8735632183908046,0.7368421052631579
GradientBoosting,1.0,8/8,0.875,0.8737564530822958,0.8746721696159899,0.88,0.8764044943820225,0.8648648648648649
KNN7_dist,0.875,7/8,0.875,0.8549450549450549,0.8673076923076923,1.0,0.8791208791208791,0.6857142857142857
LogisticRegression,0.875,7/8,0.7613636363636364,0.7480392156862745,0.7579879679144385,0.9411764705882353,0.7529411764705882,0.55
SVM_Linear,0.875,7/8,0.8636363636363636,0.8572547566956447,0.8635816415980098,0.9795918367346939,0.8604651162790697,0.7317073170731707
SVM_RBF,0.875,7/8,0.7840909090909091,0.7641414933803207,0.7792742654827642,0.9795918367346939,0.7865168539325843,0.5263157894736842
RandomForest,0.875,7/8,0.8181818181818182,0.8112090364601126,0.8167144906743186,0.9411764705882353,0.8095238095238095,0.6829268292682927
